goal_id,quarter,week,day,Activity,Project,Category,Status,Continous,Progress,work_h,Planned,Concluded,Description,Criteria,Comment,open_h
gl00080,TRUE,FALSE,FALSE,Reduce Alcohol 3,Alcohol,Health & Lifestyle,Done,NA,0,5,30.06.23,NA,Reduce Alcohol: be completely off alcohol,NA,NA,5
gl00082,TRUE,FALSE,FALSE,Spire,Plan,General,Not started,NA,0.93,5,31.03.23,NA,Life Plan in SPIRE format // add emotional well being // conclude,NA,NA,0.34999999999999976
gl00077,TRUE,FALSE,FALSE,Housing Long Term,Plan,Housing Structure Routines,Going Well,NA,1,5,31.12.23,NA,Solve the long-term housing Housing question,NA,NA,0
gl00084,TRUE,FALSE,FALSE,Income Streams 3,DiverseInvest,Job & Purpose,Not started,NA,0.3,5,31.12.22,NA,Find 1-3 Short-Term income stream to cover all costs,USD 7500 per quarter,possibly to be replaced by ODAPES,3.5
gl00088,TRUE,FALSE,FALSE,Electrical curtins,HomeRetro,Housing Structure Routines,Going Well,In Focus,0.14,5,30.06.22,NA,Install Electrical curtains in the Sleeping room,NA,NA,4.3
gl00085,TRUE,FALSE,FALSE,Eat Variety,EatHealth,Health & Lifestyle,Not started,NA,0.3,5,01.04.24,NA,Eat a big variety (requires the app to be ready),at least 30 different species per month,NA,3.5
gl00086,TRUE,FALSE,FALSE,Kill the depression wo medics,MentalHealth,Health & Lifestyle,Going Well,In Focus,0.3,5,30.06.23,NA,Reduces medics to zero and kill finally the depression.,No more medics + stable mood,Mostly linked to alcohol consumption,3.5
gl00081,TRUE,FALSE,FALSE,Personal Brand,DiverseInvest,Job & Purpose,Not started,NA,0,5,30.06.23,NA,"Define Personal Branding (slogan, story, resume etc..)",a short Branding Deck,NA,5
gl00087,TRUE,FALSE,FALSE,ODS Stable Version,ODAPES,Job & Purpose,Going Well,In Focus,0.3,5,31.07.22,NA,Code stable version in Odapes,"commit, release done",NA,3.5
gl00076,TRUE,FALSE,FALSE,Kids,Plan,Family & Relationships,Going Bad,NA,0.43,5,30.06.22,NA,Decide what to do with kids,NA,NA,2.8500000000000005
